model_id,model,estimated_capability
10,DeepSeek-V3-0324,"[0.7167909, 0.21641867, -0.41973692, -0.44737253, -0.058027193, 0.40904024, -0.040995974, -0.44204128, 0.41611525, 1.1141577, -0.043708894, -0.5111837, 0.6700407, -1.4083377, 1.0038116, -0.1581686, 0.43190223, -0.29486844, 0.5208022, -0.5548416, 0.6300861, 0.015782187, 0.3549009, 4.1390915, -0.85735077, 0.26609942, -0.28766406, -0.57821953, 0.2198416, -0.16219679]"
11,DeepSeek-V3.1,"[0.87547296, -0.07610402, 0.096667305, 0.7161174, -0.1416255, 1.3570704, 1.2530041, -0.93883395, 0.1940937, 1.3258065, -0.12532721, 4.1270084, 0.24534823, -0.1660325, 0.65037245, 0.3480617, -0.15562849, 0.108949795, 0.43271583, -0.7463554, 0.9231677, 1.3968068, 0.05593944, -0.61140776, -0.23885347, -0.37506825, -0.01235493, -0.21090408, 0.7095589, 0.23950723]"
12,DeepSeek-V3.2-Exp,"[-2.8237498, 1.8393528, -0.26357597, 0.93835056, 0.14531508, 0.67275053, -1.003231, -0.1713881, 2.6748343, 1.1077293, 0.2133979, -0.8686844, 0.48069558, 1.462537, -0.01946884, 0.6763969, 0.31379297, -0.15057874, 0.18302897, -0.83885497, 1.2771633, -0.06595424, 0.516466, -0.16068323, -2.168377, 0.46975017, 0.7962769, -0.22106142, -0.6408522, -0.3882264]"
13,DeepSeek-V3.2_thinking,"[-1.2397879, 0.8091153, 0.004703429, -0.26441798, 0.4867111, 1.8866163, 5.460305, 0.19539274, 2.3721998, 2.8591425, -0.5210194, 0.019165322, -0.3894871, -1.321372, 0.64128476, 0.5973685, -0.32784587, 0.4209453, -0.48216876, 0.56798404, 0.8195998, 0.16895285, 0.23613518, -0.9138076, 0.25548086, 0.22769915, -0.6423102, 0.62051183, 0.1306975, -0.26529846]"
14,DeepSeek-V4-Flash-Max,"[-0.61212826, -3.8831131, -0.23162667, 0.58696693, -0.2997356, -0.08978787, 2.037087, -0.73437953, 3.8753858, 2.720838, -0.40044367, -0.11391838, 0.13642664, 0.65424293, 0.0070403917, -0.03201743, -0.109927945, 0.7382256, 0.55588067, 0.23571748, 0.9422692, 0.34402472, -0.35267314, 0.1792899, 0.27587554, -0.648156, -0.8149621, -0.18727623, -0.19077191, -0.9197182]"
15,DeepSeek-V4-Pro-Max,"[3.4211328, -0.1188214, -0.17346723, -0.85611624, -1.3584874, -0.2880539, 0.6082934, -0.93687123, 3.8665893, 4.153658, -0.42448178, 0.3476462, 0.2616875, -0.122413255, 0.67945963, 0.74323255, -0.12661287, 0.40570858, -0.46239206, -0.106210895, 0.93529326, 0.5619269, -0.5947752, 0.260677, -0.055519868, 0.64182156, -0.43807775, 0.99682206, 0.53217465, -0.8377829]"
16,GLM-4.5-Air,"[2.3697453, 0.076207094, 0.28658804, 0.651235, 0.7976376, 0.54400647, 0.35853896, -0.0373547, 0.77616966, 2.5437417, 0.28164232, -0.21304841, -7.2646165, -0.5716974, -0.21630047, 0.52997965, -0.18070048, 0.06439398, -0.074617326, 0.49376038, 0.5138092, 0.5318643, -0.21563452, -0.35536137, 0.2862695, 0.14302768, 0.43019208, 0.3975683, 0.45828104, -0.66104513]"
17,GLM-4.7,"[-0.09044595, 0.5994932, 0.12436046, -0.6467154, 0.0035854273, 0.0092980135, 0.51669914, -0.08050177, 3.4712055, 0.90401024, -0.12947075, -0.045803912, 0.13470234, -0.43461978, 0.1058306, 1.1888754, 0.24973296, 0.3419252, 0.5334635, 0.05848256, 1.4312238, 0.48583, 3.279516, -0.22563782, 1.1111728, 0.4674246, -0.6752994, 0.3134329, 0.77779585, -0.6649752]"
18,GLM-5,"[-0.5375951, 0.1593378, 2.6319582, -0.1471892, -0.35926244, 0.33944604, 1.4544346, 0.269226, 2.6099396, 4.69386, 0.503746, 0.12404285, -0.39157853, -1.5193665, 0.5417992, 1.1701454, -0.033302814, 1.1185446, 0.11426783, -0.4263928, 1.0785474, 0.46770516, -0.052039806, 0.08106463, 0.4888652, -0.87698364, -0.06439467, -0.21620159, -0.35874337, 0.7454659]"
19,Gemini 1.0 Ultra,"[-0.6139254, 0.001836978, 0.08221004, 0.70040125, 0.4660116, -0.89787465, -0.974902, 1.1325911, -0.44104576, -0.2977662, -0.91723895, -0.30243388, -0.5851227, 1.050121, 2.3080103, 0.46849495, 0.4909641, 1.0665991, -0.4236513, 0.50252956, 0.25609455, -0.83797187, -0.3783775, -0.16386493, -0.10282459, -0.7083231, 0.6755822, 0.3800097, -0.08064427, -0.14798705]"
20,Kimi-K2-Base,"[1.8048434, -0.3174425, 0.4802433, 1.0398672, 0.76951635, 0.41551906, -0.42118165, 0.28944936, -0.07926619, 0.6412692, 0.7170401, 1.3991108, -0.386608, -0.53773576, 0.012381327, 0.4585003, 0.6622857, 1.1366326, 4.697044, 0.40024677, -0.11491213, 0.6145133, -1.2001024, 0.011361685, -1.0661361, 0.57638097, 0.36511365, -0.13846941, -0.0809942, -0.46552977]"
21,Kimi-K2-Instruct,"[1.1042261, 0.082784034, -0.249546, 0.30368415, -0.011071477, -0.45180255, 0.095054545, -0.12753698, 0.5267024, 1.1870292, -0.03410983, -0.53081423, -0.043376043, -0.4040482, 0.47519955, 0.025564367, 0.1320128, 0.09153145, 0.3097579, 8.949227, 1.0423995, 0.29738206, 0.3349268, -0.2682302, 0.49850613, 0.084110044, -0.0029798623, -0.018635208, 0.21494162, -0.26815388]"
22,Kimi-K2-Instruct-0905,"[1.2813962, -0.30446032, 0.027567837, 0.9050124, -0.35134575, 0.49263227, 0.40541464, 0.16341025, 0.64032763, 1.0663276, -0.042920098, 0.6622602, 0.4836995, -0.43025273, -1.5077283, 0.19994147, 2.2550282, 0.83862644, 0.7594205, -0.15867716, 1.4371675, 0.63890934, 0.7886727, 0.38062218, 1.7010474, 0.27477574, 0.15676683, -0.8264807, -1.3027004, -0.42181078]"
23,Kimi-K2.5_thinking,"[0.34466055, 0.016744098, -0.108797975, 0.7112431, 0.24448214, 0.26867253, -0.21965459, -0.22940838, 3.0837243, 2.5770519, -0.38814652, 0.069588415, 0.33815593, -0.29216105, -0.30492514, 0.2084274, 0.13105959, 0.19632341, 0.25188997, -0.14310573, 0.64057374, -0.3700031, 0.46768662, -0.20413026, 0.5928192, -12.497086, -0.15603514, -0.25797558, 0.26744035, 0.08359258]"
24,LLaMA-13B,"[-1.0473466, -0.43357068, 0.12446456, -1.3896208, 1.1693875, 0.7515075, -4.633755, -0.24073437, -0.47085705, -2.4266846, 0.010396392, -0.2506016, -0.3375354, -0.9730999, 0.41909546, 0.83951265, -0.09391031, 0.7022543, 0.47447872, 0.8328121, -1.8922014, -0.031329013, 1.7150654, 0.50707334, 0.7093766, 0.31240147, -0.049403377, 0.12149438, 0.73505956, 0.14326572]"
25,LLaMA-33B,"[-1.3424833, -0.15238005, -0.06464918, -1.722567, 0.6940007, -0.6793005, -3.2447882, 0.44102737, 0.45722732, -4.911279, 0.12520091, -0.18868333, -0.5338578, 0.37798855, 0.88079077, -0.22920205, 0.32150736, 0.47544327, 0.3297139, -0.16460264, 4.148733, 0.71275467, -0.047833238, 0.6179375, 0.72349745, -0.19166867, -0.4863999, -0.0041510887, 0.5861052, 0.110937364]"
26,LLaMA-65B,"[-2.7562852, 0.42001688, -4.06683, 0.035710074, -0.046341937, 0.5109049, -1.2006385, 1.2226626, -1.3131232, -0.3204319, -0.03928551, -0.3311516, -0.2082216, -0.73002076, -0.36300263, -0.045757297, -0.13419208, 0.175363, -0.19497348, -0.5252787, -1.1860656, 0.43623874, -0.3148127, -0.090678066, -0.23109344, -0.2262524, 0.24978656, -0.729078, 0.12739353, -1.0984894]"
27,LLaMA-7B,"[-1.254679, -0.0809889, 0.3011658, -0.6499369, 0.41051853, 0.45249474, -2.2488024, -1.023638, -0.74656796, -0.53366923, 0.094887845, 0.08134571, -2.223154, 0.3486085, -0.31808972, 0.5453055, -0.05972109, 0.4360111, -0.94677913, -1.0945588, -2.8107336, -0.5185236, 0.6801506, 0.48938295, 0.952939, 0.28689986, 0.21497835, -0.80285627, -0.24961074, -0.23944934]"
28,Llama-2-13b,"[-0.24937889, -0.45856357, -0.54041886, 0.36726716, 0.68447506, 0.10682406, 1.479746, 0.94538665, 3.3136523, -3.606495, -0.6022075, -0.23296462, -1.2544259, -0.3448545, 0.39265344, 0.0914894, 0.31701416, 0.43028295, 0.2577964, 0.28200194, -1.9744186, 0.24764477, 0.47212017, -0.5716481, -0.23116446, 1.1640401, 0.1903828, 0.5514681, -0.31596577, -0.14700282]"
29,Llama-2-34b,"[-0.024646072, -1.1674083, 0.040768947, -0.9857507, -0.11776342, 0.48521408, 0.48360315, -0.085337445, -2.735339, 0.03441342, 1.2384723, -2.8421328, -0.6875086, 2.1138299, -0.0208948, 0.7190783, 0.19441558, 0.4034075, -0.32978812, -0.37500829, -1.9996915, 0.3726645, -0.034655616, 0.67548096, 0.06573236, -0.11484283, 0.12378377, -0.15464501, -0.54717946, 0.2621383]"
30,Llama-2-70b-hf ,"[-0.61995846, -0.075635165, 0.27344325, -0.39329475, 0.4006662, 0.42722476, -0.29410118, 0.038752478, -0.9947256, -3.0797212, 0.07101942, 0.38528633, 0.24711497, -0.32558098, -0.020706981, -0.19812573, -0.084474914, 0.15568079, 0.42542553, 0.121859945, -0.6631812, -0.18737899, 10.8264065, -0.054046, -0.07638127, -0.096738175, -0.05440529, -0.51388514, 0.04070672, -0.11553288]"
31,Llama-2-7b,"[-0.79388404, -0.47363886, 0.6309793, 0.5885697, 0.037730545, 0.21330172, -1.0526854, 0.30295786, -0.73807377, -3.145932, 0.19240068, -0.2619558, -0.41006878, 1.5836587, 0.21161868, 2.7017624, 0.3500907, 0.8330975, 0.2287082, -0.09758178, -2.8529837, 0.24412198, 0.48182297, -0.6244794, -0.47499847, 0.31984138, -0.24549612, -0.37103024, 0.2351618, 0.1503612]"
32,Llama-3.1-405B,"[-1.1669514, 0.07980448, -0.016269052, 1.3063948, 0.06338587, 0.055279505, -0.4735964, 0.12440111, -0.3155838, -0.98619753, 0.5647825, 0.42122042, -0.35806537, -0.23235771, 0.23815157, -0.06637791, 0.3308804, 0.4509778, 0.6759576, -8.605989, 0.27971637, 0.0894716, 0.19252448, -0.19019847, 0.012178683, -0.07351999, -0.12155053, -0.03685154, -0.2426606, 0.23510991]"
33,Llama-3.1-405B-Instruct,"[-0.53199536, -0.010752401, 0.08067692, 1.007434, 0.282958, -0.15978685, -0.23024476, 0.022988023, -1.848524, 0.7327296, 0.1429513, -0.02323162, 0.21923785, -0.20669131, 0.52539194, 0.41350368, 0.30063418, 0.47920558, -0.059760835, -0.24323422, 0.63473165, 8.279908, 0.5488117, 0.10700734, -0.86865294, -0.23279987, -0.2930352, -0.37055027, -0.008734238, 0.5558283]"
34,Llama-3.1-70B,"[-0.7847252, 5.451365, -0.48157287, 1.0179428, -0.18672486, -0.25460386, -0.45134494, -0.24394742, -1.371764, -1.5693815, 0.13615233, -0.7277762, -0.16794553, 0.44914442, -0.16357106, 0.34013447, 0.4270455, 1.0558522, 0.6426888, 0.35671112, -0.11966815, 0.21585102, -0.36594617, -0.5899004, -0.18806206, -0.19280118, 0.4375906, 0.21348758, 0.1386489, -0.45388725]"
35,Llama-3.1-70B-Instruct,"[-1.2367188, -0.7703612, 0.78139895, 1.0321358, -0.1489955, -0.041940443, -0.5849288, 0.7790631, -2.5904036, 0.1333943, -0.36028165, 0.510111, -4.6515846, -1.0292608, 0.52606606, 0.13928789, 0.042469736, 0.8165493, 0.2865412, -0.37115437, 1.4021373, 0.3400618, -0.12277024, -0.700287, -0.8195813, 0.41430485, 0.2059906, 0.7395523, 0.24210922, 0.31376696]"
36,Llama-3.1-8B,"[-0.48648965, -0.038443748, 0.0960521, 0.3328486, 0.4317412, 0.9716548, -0.78104603, 0.08956858, -0.97703797, -2.2272987, -0.18038328, -0.15376407, -1.0322517, -0.7933139, 0.5863295, 0.2467142, -0.5832404, 0.15789855, 0.24685806, -0.37161353, -0.9794507, -0.012712892, 0.71331674, -0.32832196, -0.6764872, 0.08492973, -0.43419546, -0.25753036, -0.95751965, -8.130571]"
37,Llama-3.1-8B-Instruct,"[-2.334365, -0.09562159, 0.15549171, 0.5048171, -0.11069341, 0.5737833, 0.05597581, -0.13314696, -3.1875365, -0.9430672, -0.32727376, -0.18654428, 0.8779246, 0.14657561, 0.21851061, -0.24173792, 0.26970306, 0.38726783, 0.7262385, -0.28423622, 0.007454272, 0.1280806, -0.23894067, 0.3676619, -0.54597336, -0.18906876, -7.9369235, -0.08054922, 0.005996645, 0.031540733]"
38,Llama-3.2-11B-Vision-Instruct,"[0.97882766, -0.2609744, -0.46823373, -0.032461416, -0.09121817, 1.2993702, 1.002901, -0.85489297, -2.4496846, -1.035598, 0.5509705, 0.51256645, 0.08560374, -0.25654426, 0.1755437, -0.29598278, -0.21099675, 1.1018496, -0.9230084, 0.25870106, 0.6792744, -2.922838, -1.6139907, 0.06844394, -0.09801443, -1.519046, 0.16952215, 0.23106152, 0.24699524, -0.13058631]"
39,Llama-3.2-90B-Vision-Instruct,"[-1.7722901, 0.21025577, -0.3300493, 0.13943915, -1.2242352, -0.23721607, -0.08790567, -0.01554692, -1.0794618, 0.025055144, 1.0453538, -2.7572472, 0.16933596, -0.8871746, -0.23337533, 0.13752154, 0.17495666, 0.79562473, -0.6983512, -0.9095788, 0.6167022, -0.61814916, 0.123654105, 0.5915246, 0.6769457, -0.08173467, 1.1970466, 0.0017841033, -0.08863464, 0.16375905]"
40,Llama-3.3-70B-Instruct,"[-1.415948, -0.013472265, -0.3854927, 0.76329553, 0.34171125, 0.3400805, -0.9075933, -0.5647782, -0.86133075, 0.3951132, -6.6783886, 0.40158492, 0.32431725, -0.1486848, -0.40878227, 0.15140432, 0.27581364, 0.9701995, -0.2141753, -0.097785324, 1.2204578, -0.033204556, 0.015627775, 0.0039611086, 0.39137635, -0.031765264, -0.6261444, 0.22339427, -0.18669373, -0.5577901]"
41,Llama-4-Maverick-17B-128E,"[0.58829933, -0.26196417, -1.6928087, 1.0807427, -0.029407116, -0.58149886, -0.65668625, 0.20193602, -1.3843582, 0.52321225, 3.5362718, -0.4083353, -0.23793988, -0.22749177, -0.26939297, -0.68731785, 0.6009754, -1.2264787, -0.10258502, -0.012581256, -0.17803277, 0.47363898, 0.004457394, 0.40828234, -0.14093655, -0.3415242, 0.97621685, 0.6179364, -0.11026415, 0.12542483]"
42,Llama-4-Maverick-17B-128E-Instruct,"[0.32467645, -0.7939605, 0.22907913, -1.7450024, -0.72721255, 0.3157786, -0.55382156, 0.57374436, -1.3237588, 2.522369, -0.55397105, -0.31759033, 1.0617894, -0.39237118, 0.8518396, -0.79744196, -0.34150895, 3.7959957, 0.022892453, 0.4348565, 1.3632029, -0.395163, 0.4176175, 0.15884973, 0.57889426, 0.348059, 0.25460514, 0.0022714045, 0.7449526, 0.2177418]"
43,Llama-4-Scout-17B-16E,"[-0.5429577, 0.19104515, -0.3084237, 0.25901446, 0.62396616, 0.31626365, -0.5130947, 0.31786874, -1.1954838, -0.4627684, 0.17492193, 0.10373267, 10.179984, 0.5918358, 0.4997629, 0.5706013, 0.11581809, -0.098747335, 0.10293726, -0.39737245, -0.3245627, 0.13848324, 0.17888993, 0.083315074, -0.015979445, 0.33716154, -0.10251027, 0.12411041, -0.23363507, 0.16708732]"
44,Llama-4-Scout-17B-16E-Instruct,"[-0.3521153, -0.20311907, 0.09847716, -0.30059674, 0.15523809, 0.043505397, -0.74016875, -0.051357236, -1.8332584, 0.5439742, 0.2283684, 0.33587044, 0.22522494, -0.29231527, 0.39088973, 0.5476324, -0.025968332, 0.8066856, 0.033162996, 0.2057395, 0.56871134, -0.03616992, 0.12059044, 0.16906038, 0.35412008, 7.753492, -0.19794835, -0.3404581, -0.20380993, 0.40962976]"
45,LongCat-Flash-Chat,"[0.61389947, 0.008935329, -0.6675551, 0.026437052, -0.38564894, 0.753984, -0.007270902, -0.48858684, 1.0251123, 0.31300712, 0.49334672, -0.17428465, 0.6656168, 1.415466, 0.9860119, -0.541, -0.6261351, 0.03786149, -0.15045546, -0.20343469, 1.8274932, 1.33156, 0.06022696, -0.16754763, -1.1031778, 0.21912123, -0.4848397, -0.36031944, -3.2205527, -1.6192158]"
46,LongCat-Flash-Lite,"[1.51228, 0.7600837, 0.14379863, 1.3900863, -0.27594513, 0.5214313, 0.8359424, -2.6834295, 0.6332176, 1.992789, -0.1677931, -2.754601, 0.2945564, 0.121307954, -0.5082333, 1.2020642, -1.4204794, 0.06500462, -0.32961148, 0.099938154, 0.10971497, 0.34212154, 0.21353456, 0.795984, 0.4211574, -0.7186145, -0.41521055, 0.48280793, 0.3645344, 0.018906424]"
47,LongCat-Flash-Thinking,"[3.1645393, -1.5770103, -0.037319336, 0.01753674, 1.626961, -1.2246536, -0.5642227, 0.5124965, 2.5237865, 1.4644142, -0.09523708, 0.20677668, -0.009436017, 1.3549498, -2.7192168, -0.4243381, 0.26824558, -0.10851039, 0.72221655, -0.11180198, 0.53579676, -0.18681952, -0.26132149, -0.09589781, -0.28393888, -0.18347265, -0.23458561, 0.4045657, -1.4579365, -0.022773571]"
48,Meta-Llama-3-70B,"[-0.7529307, -0.06044035, 0.12301094, 0.46986744, -0.24428897, 0.1379327, 0.38104454, -0.1300827, -0.5277501, -1.5420495, 0.24447402, -0.29415435, 0.2020761, 0.24672107, -0.22649485, 0.51521486, -5.2722034, 0.29223388, -0.021169303, -0.08601077, -0.44469276, 0.10560553, 0.5691051, 0.21860817, -0.7269969, 0.0078067374, 0.20925152, -0.07715295, 0.10034306, 0.5281167]"
49,Meta-Llama-3-70B-Instruct,"[-1.9343001, -0.07668273, -8.5097, 0.18857321, 0.07911207, 0.01600958, -0.6741045, 0.13623025, -1.329322, -0.46502602, 0.18911205, 0.041229054, 0.17751747, -0.20442253, 0.23265716, -0.27480257, -0.08667868, 0.17731148, 0.11538435, -0.17921719, 0.39037088, -0.10066601, 0.3544824, 0.21937306, -0.5422547, 0.025933117, 0.44191498, 0.2504859, 0.15163091, -0.24963348]"
50,Meta-Llama-3-8B,"[-1.9068359, 0.014842194, -0.28568706, 0.19423564, 0.17996104, 0.042384103, -0.21665703, 0.2677999, -0.4177705, -2.0062492, -0.13009861, -0.061146654, 0.25641778, -0.058908556, -0.12855993, 0.018990643, -0.10508804, -0.012775398, 0.21699013, -0.14655441, -1.3933389, 0.022783995, 0.12359118, -0.09193792, 0.35599205, 6.693634, -0.4966413, 0.08839215, 0.3268271, 0.27295235]"
51,Meta-Llama-3-8B-Instruct,"[-4.479088, 0.8772457, 0.06257065, 0.13062139, 0.29880828, -0.24456806, 0.8277237, -1.2750589, -0.7914999, -1.2761497, -0.051465463, 0.3395665, 0.28070548, -0.15154919, 0.07266782, -1.0417477, -0.7306337, 0.6944716, -0.18713482, 0.5748111, -0.6184102, 0.005448834, 1.5604483, -0.327674, 1.2125556, 0.06744064, -0.2892968, -0.33674744, 0.09832881, 1.8574466]"
52,MiniMax-M1-40K,"[1.8161275, -0.8492648, 0.04659206, 0.6994979, 1.151531, -0.3105073, -0.75804037, -0.623637, 1.0058028, 0.085399956, -0.5210812, 0.2073664, 0.27031103, -0.19423498, 0.079589576, 0.57652295, 0.25529876, 0.6998053, 0.586711, -3.7867682, 1.0044534, 0.21890596, 0.7422347, -0.4386489, -0.22024488, -0.13507894, -1.0181688, 0.626333, -0.48886013, -0.48794764]"
53,MiniMax-M1-80k,"[2.2814755, -3.8555562, 0.16402397, 0.2676739, 0.25916058, -0.22417592, -0.8516394, -0.56605184, 1.453466, 0.634591, -0.5456429, 0.038538605, 1.166906, -0.071593754, -0.45254666, 0.14582965, 0.102828905, 0.2957354, 0.07714759, 0.9146013, 0.73206, 0.08713939, 0.10672812, -0.29870424, 0.5942994, -0.36625823, -0.57995987, -0.14446469, 0.54551744, -0.69319165]"
54,MiniMax-M2.1,"[0.3057975, -0.69141495, 2.4806921, 0.8206948, 0.17875086, -0.6212187, 1.0834525, -0.017783456, 1.5032583, 2.8958883, -0.28135496, -0.4933594, 0.14685047, 0.35157144, 0.14407034, 0.49302724, 0.07402118, 1.9627731, 0.3303102, -0.27981734, 0.60790205, 1.3770806, 0.19172686, -0.34271032, -0.29843253, 0.21864994, -0.11672848, -0.587588, -0.08519595, -0.98908484]"
55,Ministral-8B-Instruct-2410,"[-0.6457932, -0.7508902, 2.6315758, 0.81437415, 0.8612454, 0.52434504, -0.1572362, 0.31542224, -3.8810806, 2.2342744, -0.2119615, 0.7598429, -1.9318011, 0.8644736, -0.040720567, 0.082865566, 0.0046019284, 0.04614758, 0.40399393, 0.73085237, -2.0314865, -0.19008611, -0.112428114, 0.3983252, 0.6281924, -0.3445519, -1.3935372, -0.015016967, 0.31823742, 0.06340602]"
56,Mistral-7B-Instruct-v0.1,"[0.5365526, -0.06686894, 0.0018675961, 0.85255486, 0.14858702, 0.24770972, 0.61788785, 0.7738915, -0.7446515, -2.6560392, -1.3157514, -0.11541498, 0.19355555, 0.58047676, -0.27846882, 2.3904443, 0.4199528, -1.4460332, -1.0120097, 0.57383907, -1.2262554, 0.5333586, 0.19960418, 0.1362837, -0.15873235, -0.1640449, 0.73808545, -0.77069396, -0.60724014, 0.12623866]"
57,Mistral-7B-v0.1,"[-1.4206233, -0.6773806, -0.3329043, 0.9205553, -0.27660513, -0.0016625911, -0.5179707, -0.24802646, 0.21652746, -2.4470134, 0.3088581, 0.755458, 0.33599338, 0.25585377, 0.2528571, -3.2859895, 0.055113837, 0.79129815, -0.13031046, -1.0752237, -1.3317508, 0.0050878027, -0.30935058, -0.2912218, -0.15150446, -0.17598279, -0.17462912, -0.7607672, 0.45965642, 1.1421312]"
58,Mistral-7B-v0.2,"[-1.9508644, 0.029067751, 0.97551197, -0.17137557, 0.088139206, 0.19510058, -0.6973357, -0.32277742, -1.0149668, -2.5358677, 0.24597248, -0.18306462, 0.4841858, -0.2510889, -0.61584187, 0.4390354, 0.7141739, 0.11131633, 4.654597, -0.009628524, -1.5705838, 0.041109595, -0.5493514, 0.22756694, 0.7904563, 0.11048914, 0.25398508, 0.2633483, -0.11360914, 0.0108252745]"
59,Mixtral-8x22B-Instruct-v0.1,"[-0.22368683, 0.29075658, -0.4061223, 1.3124669, 0.13283832, -0.047069903, 0.743059, 0.26044598, -4.4791784, -0.387335, -0.15998062, 0.93340325, -0.093421444, 1.2717565, -5.8935995, -0.12938613, 0.045195613, -0.068961784, 0.117082864, -0.07599166, 0.003102867, -0.64121795, -0.082281485, 0.29223695, 0.57127935, 0.2784971, -0.4530216, -0.37835413, 0.0477191, 0.47810134]"
60,Mixtral-8x22B-v0.1,"[-1.8276407, -0.37599438, 0.0038883537, 0.38116917, 0.16829075, -0.05666276, -0.027522434, -0.08003002, -0.87445676, -1.0778695, -0.4725663, 0.12596563, -0.2783754, -0.2175918, 0.18147846, 0.020874122, 0.16676366, 0.2214997, 0.0050531216, -0.40545046, -0.52629936, 0.1612786, 10.516241, 0.16723152, 0.3180901, 0.4408568, -0.25166413, 0.050748363, -0.020594263, -0.20157188]"
